issue_key,status,resolution,custom_field_hub,conversation_start,conversation_end,duration_minutes,first_agent_response_minutes,avg_agent_response_minutes,avg_customer_response_minutes,messages_total,messages_agent,messages_customer,turns,agent_authors,customer_authors,initial_response_sla_5m,initial_response_sla_15m,agent_profanity_detected,agent_profanity_count,customer_abuse_detected,customer_abuse_count,llm_summary_250,conversation_rating,extract_customer_problem,contact_reason,contact_reason_original,agent_score,customer_score,resolved,improvement_tip,llm_model,llm_input_tokens,llm_output_tokens,llm_cost_usd
CC-39389,In Progress,,,2025-10-24T00:38:00+00:00,2025-10-24T00:40:00+00:00,2,,,0.67,6,3,3,1,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:14411cc1-cccc-4be6-bddf-059897315f79,,,FALSE,0,FALSE,0,"The customer reported a problem with their bike, specifically that the front wheel was broken.",3,The front wheel of the bike was broken.,E-bike damage issue,,4,3,FALSE,Encourage the customer to provide more details about the issue for better assistance.,gpt-4o-mini,3681,113,0.00496
CC-39388,In Progress,,Business Design Centre,2025-10-24T00:32:00+00:00,2025-10-24T00:41:00+00:00,9,1,1.29,0.06,24,8,16,13,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:1ac82e77-1658-4d0d-9ef7-aaa7a9c7d75e,TRUE,TRUE,FALSE,0,FALSE,0,"The customer faced issues returning a bike at the dock, stating the dock did not catch the bike. The agent provided steps to resolve the issue but the customer remained frustrated.",3,The customer is unable to end their bike rental as the dock is not accepting the bike.,Rental finish issue,Rental finish issue,3,2,FALSE,Provide clearer instructions and check for system outages that may affect the docking process.,gpt-4o-mini,4358,138,0.005892
CC-39387,Done,Done,Business Design Centre,2025-10-23T23:16:00+00:00,2025-10-23T23:42:00+00:00,26,1,8.8,0,7,5,2,3,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:af6b3c41-89c9-4ccd-ab11-b4b8394ef14b,TRUE,TRUE,FALSE,0,FALSE,0,Customer had an issue with locking the bike after rental. Agent provided troubleshooting steps and confirmed the bike was returned successfully.,4,The bike is not locking.,Rental finish issue,Rental finish issue,4,3,TRUE,Ensure to confirm the customer's understanding of the solution before closing the chat.,gpt-4o-mini,3800,114,0.005107
CC-39386,Done,Done,Q-Park Pimlico,2025-10-23T22:52:00+00:00,2025-10-23T23:31:00+00:00,39,1,12,0.75,15,11,4,4,712020:2d004b64-fe43-43ea-94c6-0a1d558883d4;712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:6013f68f-7cb1-4817-b3c8-98196393726a,TRUE,TRUE,FALSE,0,FALSE,0,"The customer requested an extension on their bike rental time, which exceeded the 12-hour limit. The agent granted an additional 10 minutes and reminded the customer of penalties for late returns.",4,The customer needed extra time to return their bike rental.,Rental finish issue,Info/question about my current ride,4,3,TRUE,Ensure to clearly communicate the consequences of exceeding rental time earlier in the conversation.,gpt-4o-mini,4367,134,0.005884
CC-39385,Done,Done,Q-Park Leicester Square,2025-10-23T22:20:00+00:00,2025-10-23T22:46:00+00:00,26,1,6.2,0.2,12,7,5,4,712020:0f747479-10c0-4ae9-8ae7-7531f3554784;712020:ad2872c7-5ae1-47b0-b52a-a68d84012906,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:77c87bed-ce9c-4d92-8b18-956566d5afe2,TRUE,TRUE,FALSE,0,FALSE,0,Customer inquired about the availability of a monthly subscription and the possibility of transferring their pass. Agent clarified that a new subscription can only be purchased after the current one expires.,4,Customer wants to know if they can pay for a monthly subscription and transfer their current pass.,Info about monthly subscription,General information request about the service,4,3,TRUE,Provide clearer information on subscription transfer policies to avoid confusion.,gpt-4o-mini,3918,135,0.00535
CC-39384,Done,Duplicate,,2025-10-23T22:21:00+00:00,2025-10-23T22:22:00+00:00,1,,,,3,3,0,0,712020:ad2872c7-5ae1-47b0-b52a-a68d84012906,,,,FALSE,0,FALSE,0,"The customer did not engage in the conversation, leading to a resolution marked as a duplicate issue. The agent provided minimal assistance.",2,"The customer did not express a problem, leading to a duplicate resolution.",Duplicate,Duplicate,3,1,TRUE,Encourage the customer to provide more details or clarify their issue to enhance support.,gpt-4o-mini,3586,124,0.004898
CC-39383,Done,Duplicate,,2025-10-23T22:04:00+00:00,2025-10-23T22:05:00+00:00,1,1,1,0,5,4,1,2,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:5fc06958-462a-495f-b73a-5f443e2d7384,TRUE,TRUE,FALSE,0,FALSE,0,The customer reported that their bike was stolen. The agent advised against opening multiple chats and directed the customer to a previous conversation.,2,The customer stated that someone stole their bike.,E-bike lost or stolen during a rental,Duplicate,3,3,FALSE,Provide a clearer response to the customer's issue and guide them on the next steps for reporting the theft.,gpt-4o-mini,3646,130,0.004999
CC-39382,Done,Done,Q-Park Tower Bridge,2025-10-23T22:00:00+00:00,2025-10-23T23:36:00+00:00,96,2,6.06,1.36,32,18,14,18,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:5fc06958-462a-495f-b73a-5f443e2d7384,TRUE,TRUE,FALSE,0,FALSE,0,The customer reported their bike was stolen and requested an emergency lock. The agent informed them about the locking process and the fine for theft. The bike was eventually recovered.,4,The customer had their bike stolen during a rental and needed assistance locking it.,E-bike lost or stolen during a rental,E-bike lost or stolen during a rental,4,4,TRUE,Ensure to clarify the fine details earlier to avoid customer confusion.,gpt-4o-mini,4722,136,0.006319
CC-39381,Done,Done,Q-Park Leicester Square,2025-10-23T21:47:00+00:00,2025-10-23T21:54:00+00:00,7,1,1,0.17,22,10,12,10,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:00c82a4c-cb4d-452b-a81e-41432b19c9cf,TRUE,TRUE,FALSE,0,FALSE,0,Customer faced issues ending a bike rental. Agent provided steps to resolve it and ultimately ended the rental on their side.,4,Customer was unable to end the bike rental through the app.,Rental finish issue,Rental finish issue,4,3,TRUE,Ensure to ask for specific error messages earlier to expedite resolution.,gpt-4o-mini,4284,118,0.005707
CC-39380,Done,Done,Q-Park Leicester Square,2025-10-23T21:39:00+00:00,2025-10-23T21:57:00+00:00,18,7,2.71,0.44,18,9,9,10,712020:ad2872c7-5ae1-47b0-b52a-a68d84012906,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:68684a1f-c7a8-43ed-a154-94fd7c7599a1,FALSE,TRUE,FALSE,0,FALSE,0,"The customer reported a punctured bike and requested to end their ride. The agent guided them through sending a video and image, successfully resolving the issue.",5,The customer had a punctured bike and wanted to end their ride.,E-bike damage issue,E-bike damage issue,5,4,TRUE,Encourage the customer to provide clearer details about the issue upfront.,gpt-4o-mini,4163,129,0.005615
