issue_key,status,resolution,custom_field_hub,conversation_start,conversation_end,duration_minutes,duration_to_resolution,first_agent_response_minutes,avg_agent_response_minutes,avg_customer_response_minutes,messages_total,messages_agent,messages_customer,turns,agent_authors,customer_authors,initial_response_sla_5m,initial_response_sla_15m,agent_profanity_detected,agent_profanity_count,customer_abuse_detected,customer_abuse_count,llm_summary_250,conversation_rating,problem_extract,resolution_extract,steps_extract,resolution_timestamp_iso,resolution_message_index,contact_reason,contact_reason_original,contact_reason_change,reason_override_why,resolution_why,customer_sentiment_primary,customer_sentiment_scores,agent_profanity_detected,agent_profanity_count,customer_abuse_detected,customer_abuse_count,agent_score,customer_score,resolved,is_resolved,improvement_tip,llm_model,llm_input_tokens,llm_output_tokens,llm_cost_usd
CC-41333,In Progress,,Q-Park Oxford street,2025-11-13T13:40:00+00:00,2025-11-13T13:51:00+00:00,11.00,11.00,1.00,1.25,0.17,22,10,12,8,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:591cb386-3465-48b3-aa52-62057eaf48dd,true,true,false,0,false,0,Rental start issue: bike locked; agent unlocked and started a new rental.,4,Rental did not start properly; bike locked.,"Identified start failure, unlocked bike, started a new rental.","[""Requested bike ID photo to verify bike."", ""Diagnosed rental did not start properly; bike locked."", ""Unlocked bike for customer."", ""Advised to return bike and scan a new bike."", ""Notified that a new rental has started.""]",2025-11-13T13:51:00+00:00,22,Rental start issue,Info/question about my current ride,true,"""rental did not start properly, which caused it to fail and the bike to lock"" (A:9) and ""I am now unlocking this bike for you"" (A:9) and ""I see your new rental has been started"" (A:22).","Agent diagnosed start failure, unlocked the bike, and started a new rental; final message confirms new rental started. Key cues: ""rental did not start properly"" -> issue; ""I am now unlocking this bike for you"" -> fix; ""I see your new rental has been started"" -> closure.",Neutral,"{""Delight"": 0.05, ""Convenience"": 0.25, ""Trust"": 0.25, ""Frustration"": 0.15, ""Disappointment"": 0.05, ""Concern"": 0.1, ""Hostility"": 0.04, ""Neutral"": 0.11}",false,0,false,0,4,4,true,true,Improve start-failure handling with automatic unlock if start fails and provide clear next-step guidance.,gpt-5-nano,2778,4249,0.001839
CC-41332,Done,Done,Port Marcon Place,2025-11-13T13:34:00+00:00,2025-11-13T13:40:00+00:00,6.00,2.00,1.00,1.00,0.00,9,6,3,4,712020:d0e4092f-b8dc-4f7e-9058-cd8d92b95196,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:656d9705-51dc-4f26-9fe6-aea8e5c55a0c,true,true,false,0,false,0,Agent identified bike is locked and powered off; issue concluded; chat closed.,4,Bike lock issue: user can't unlock; bike is locked and powered off.,Bike is locked and powered off; issue resolved.,"[""Requested bike ID image from customer (msg 4)"", ""Reported bike is locked and powered off (msg 6)"", ""Offered further assistance (msg 7)"", ""Closed chat citing resolution (msg 8)""]",2025-11-13T13:36:00+00:00,6,Rental pause/resume issue,Rental pause/resume issue,false,,Resolved when agent stated 'Your bike is locked and powered off' (msg 6) and subsequently closed the chat (msg 8).,Neutral,"{""Delight"": 0.0, ""Convenience"": 0.15, ""Trust"": 0.15, ""Frustration"": 0.15, ""Disappointment"": 0.15, ""Concern"": 0.15, ""Hostility"": 0.0, ""Neutral"": 0.25}",false,0,false,0,4,4,true,true,Provide explicit unlock/remedy steps and confirm customer satisfaction before closing.,gpt-5-nano,2354,3969,0.001705
CC-41331,In Progress,,No active pass / Other,2025-11-13T13:21:00+00:00,2025-11-13T13:37:00+00:00,16.00,,1.00,2.20,0.50,15,9,6,10,712020:d0e4092f-b8dc-4f7e-9058-cd8d92b95196,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:d992ffe7-a2c4-4ccb-ac25-18740797f30f,true,true,false,0,false,0,Customer asks nearest Port hub and rental pricing; agent provided Bancroft Road hub and 12-hour policy but pricing not provided.,3,Needs nearest Port hub and rental prices (12h/weekly); asked for post code.,Pricing not provided; issue remains open.,"[""Provided high-level Port workflow overview."", ""Outlined hub selection and map navigation in the Port App."", ""Advised enabling GPS/location services for accurate hub finding."", ""Identified Bancroft Road Hub as closest to the user."", ""Provided exact hub address: 196 Bancro Rd, Bethnal Green, London E1 4ET, UK."", ""Explained 12-hour rental rule for all plans, with possibility to start another rental after return."", ""Clarified how to start a ride using the QR code at a hub."", ""Summarized next steps and invited further questions.""]",,,General information request about the service,General information request about the service,false,,Pricing details for 12-hour and weekly rentals were not provided; customer still awaiting price info. Example: 'And could you please tell me about rent...' remains unanswered.,Neutral,"{""Delight"": 0.05, ""Convenience"": 0.2, ""Trust"": 0.25, ""Frustration"": 0.05, ""Disappointment"": 0.1, ""Concern"": 0.15, ""Hostility"": 0.05, ""Neutral"": 0.15}",false,0,false,0,4,4,false,false,Provide exact pricing for 12-hour and weekly rentals and confirm the nearest hub by postcode in your next reply.,gpt-5-nano,2974,4315,0.001875
CC-41330,Done,Done,Q-Park Leicester Square,2025-11-13T13:20:00+00:00,2025-11-13T13:38:00+00:00,18.00,8.00,1.00,1.14,0.08,26,13,13,14,712020:d0e4092f-b8dc-4f7e-9058-cd8d92b95196,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:a5af2600-17ce-4ec4-9cf7-0383b73c2896,true,true,false,0,false,0,"Rental start issue resolved: technical fault prevented start; bike unlocked, rider docked at hub, rental started.",4,Rental start failed; bike scan mismatch between app and actual bike due to a technical issue.,Rental started and issue resolved; bike docked.,"[""Agent requests bike ID image to diagnose issue (line 08)"", ""Agent identifies rental hasn't started due to technical issue (line 11)"", ""Agent unlocks bike for return to hub (line 11)"", ""Agent confirms bike is powered on and unlocked and instructs to dock (line 15)"", ""Agent prompts to scan another bike if error persists (line 23)"", ""Agent confirms rental started as resolved (line 25)""]",2025-11-13T13:28:00+00:00,25,Rental start issue,Info/question about my current ride,true,Changed from 'Info/question about my current ride' to 'Rental start issue' because agent stated 'your rental hasn’t started due to a technical issue' (line 11) and later confirmed 'successfully started your rental' (line 25).,"Agent identified a technical issue preventing start, unlocked the bike for return, and confirmed the rental started at 13:28 (line 25); customer did not raise further issues (line 26).",Neutral,"{""Delight"": 0.0, ""Convenience"": 0.3, ""Trust"": 0.25, ""Frustration"": 0.15, ""Disappointment"": 0.1, ""Concern"": 0.05, ""Hostility"": 0.0, ""Neutral"": 0.15}",false,0,false,0,5,4,true,true,Improve rental-start diagnostic flow to auto-detect tech failures and auto-start when possible.,gpt-5-nano,2915,6077,0.002577
CC-41329,Done,Done,NCP Bloomsbury,2025-11-13T13:15:00+00:00,2025-11-13T13:38:00+00:00,23.00,10.00,1.00,2.00,0.00,19,10,9,10,712020:d0e4092f-b8dc-4f7e-9058-cd8d92b95196,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:19061d4d-c24e-4914-907a-cac66b25f7cf,true,true,false,0,false,0,Rental wouldn’t start due to a technical issue; agent unlocked the bike and the rental started successfully.,4,Rental wouldn’t start due to a technical issue; bike at hub couldn't be moved after scan (red light).,Rental started successfully after unlock; issue resolved.,"[""Agent requested a moment to check the issue."", ""Agent asked user location: at hub or outside."", ""Agent requested bike ID photo."", ""Agent diagnosed rental hadn\u2019t started due to a technical issue."", ""Agent unlocked the bike for return to hub."", ""Agent confirmed rental started successfully.""]",2025-11-13T13:25:00+00:00,18,Rental start issue,Info/question about my current ride,true,Original: 'Info/question about my current ride' (header). Override to 'Rental start issue' per: 12: 'I’ve found that your rental hasn’t started due to a technical issue.' and 18: 'I have checked that you have successfully started your rental.',Resolution achieved: rental started successfully after unlock. Evidence: 12: 'I’ve found that your rental hasn’t started due to a technical issue.'; 15: 'Your bike is powered on and unlocked'; 18: 'I have checked that you have successfully started your rental.',Neutral,"{""Delight"": 0.0, ""Convenience"": 0.1667, ""Trust"": 0.2778, ""Frustration"": 0.1111, ""Disappointment"": 0.1111, ""Concern"": 0.1667, ""Hostility"": 0.0, ""Neutral"": 0.1666}",false,0,false,0,5,4,true,true,Provide explicit status confirmation of rental start and quick next steps to close the chat only after user confirms.,gpt-5-nano,2703,5313,0.002260
CC-41328,Done,Done,ParkBee Lanark Road,2025-11-13T13:08:00+00:00,2025-11-13T13:33:00+00:00,25.00,,2.00,1.50,0.50,9,7,2,4,712020:d0e4092f-b8dc-4f7e-9058-cd8d92b95196,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:ae5fea91-00d1-44d1-b644-6b652733dbcc,true,true,false,0,false,0,Hub/pass mismatch blocked ride start at Queens Way; agent directed to Parkbee Lanark Road hub; unresolved.,2,Cannot scan bike due to hub/pass mismatch: Queens Way pass vs Parkbee Lanark Road hub.,No resolution; chat closed without solving hub/pass mismatch.,"[""Agent checked the subscription status"", ""Agent asked to confirm hub location (Parkbee Lanark Road Hub)"", ""Agent informed user of Parkbee Lanark Road Hub requirement"", ""Agent instructed user to scan at Parkbee Lanark Road hub""]",,,Hub access or navigation issue,Rental start issue,true,"""I am at queens way hub.. and I buy pass for queens way only""; ""Sir you have daily pass for the Parkbee Lanark Road Hub.""; ""Please try to scan the bike from the Parkbee Lanark Road hub.""","No follow-up from customer after instruction; chat closed with 'We didn’t hear back from you, therefore we are closing this chat now.'",Frustration,"{""Delight"": 0.05, ""Convenience"": 0.1, ""Trust"": 0.1, ""Frustration"": 0.45, ""Disappointment"": 0.2, ""Concern"": 0.05, ""Hostility"": 0.0, ""Neutral"": 0.05}",false,0,false,0,2,2,false,false,Improve hub/pass validation flow and proactively guide users to the correct hub for their pass.,gpt-5-nano,2399,4542,0.001937
CC-41327,Done,Done,No active pass / Other,2025-11-13T12:42:00+00:00,2025-11-13T13:01:00+00:00,19.00,19.00,1.00,1.50,0.88,30,13,17,17,712020:d0e4092f-b8dc-4f7e-9058-cd8d92b95196,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:89492976-e0dc-4306-846a-b2f6a27c4fc4,true,true,false,0,false,0,Explained hub viewing in the Port App and subscription options; customer confirmed understanding.,5,"Nearest hub, how to view hubs in app, and subscription terms for renting bikes.",Hub viewing steps and subscription info provided; customer confirmed understanding.,"[""Provided overview of how Port works"", ""Guided how to view and select hub on Port App map"", ""Stated rental requires an active weekly/monthly subscription or daily pass"", ""Clarified daily pass validity: 12 hours and expiry at 23:59"", ""Explained weekly subscription: 7 days, up to 12 hours per ride, cost \u00a349.95"", ""Noted weekly expires exactly 7 days after purchase"", ""Gave expiry example: purchase at 1:00 PM today, expires at 1:00 PM seven days later"", ""Asked if anything else I can assist you with?""]",2025-11-13T13:01:00+00:00,30,General information request about the service,General information request about the service,false,,Resolution achieved: customer confirmed understanding with 'Ok perfect thank you for you help' and final acknowledgment 'All good thnx'.,Delight,"{""Delight"": 0.65, ""Convenience"": 0.15, ""Trust"": 0.12, ""Frustration"": 0.03, ""Disappointment"": 0.03, ""Concern"": 0.02, ""Hostility"": 0.0, ""Neutral"": 0.0}",false,0,false,0,5,5,true,true,Consider a concise end-of-chat recap with key figures (daily/weekly durations) to reduce follow-ups.,gpt-5-nano,3476,4714,0.002059
CC-41326,Done,Done,No active pass / Other,2025-11-13T12:40:00+00:00,2025-11-13T13:09:00+00:00,29.00,,1.00,2.20,0.50,19,11,8,10,712020:d0e4092f-b8dc-4f7e-9058-cd8d92b95196,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:4e53edc4-bf7b-4bf8-a071-4cf2f62b1888,true,true,false,0,false,0,New user seeks hub location guidance; agent provided map-based steps; issue unresolved as chat ended.,3,New user can't locate hubs or select a hub on the Port map; asks how to use the map to pick a hub.,Unresolved; user did not confirm solution; chat closed.,"[""Provided quick Port app overview including hub selection"", ""Explained map-based hub selection and tapping hub pin to view details"", ""Advised enabling location services (GPS) for hub discovery"", ""Directed user to return to the app's starting screen and retry steps""]",,,General information request about the service,General information request about the service,false,,No confirmation of resolution; chat closed after agent provided steps; 'We didn’t hear back from you' noted in transcript.,Neutral,"{""Delight"": 0.0, ""Convenience"": 0.15, ""Trust"": 0.15, ""Frustration"": 0.2, ""Disappointment"": 0.15, ""Concern"": 0.1, ""Hostility"": 0.05, ""Neutral"": 0.2}",false,0,false,0,4,3,false,false,Add a short in-app hub map tutorial and keep a prominent hub button on the home screen.,gpt-5-nano,3010,3796,0.001669
CC-41325,Done,Duplicate,,2025-11-13T12:31:00+00:00,2025-11-13T13:34:00+00:00,63.00,,63.00,63.00,0.00,4,3,1,2,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:4e53edc4-bf7b-4bf8-a071-4cf2f62b1888,false,false,false,0,false,0,Ticket opened; customer didn't state an issue; agent sent a link awaiting clarification.,3,"No issue described; customer greeted, no problem details given.",No resolution yet; awaiting customer details.,"[""Agent greeted the customer."", ""Agent asked how we may assist."", ""Agent sent informational link.""]",,,Other,Duplicate,true,"""Hi"" (line 03) and ""[link]"" (line 04) show no issue; override to 'Other'.",No issue described by customer; only greeting and a link were exchanged.,Neutral,"{""Delight"": 0.0, ""Convenience"": 0.05, ""Trust"": 0.05, ""Frustration"": 0.0, ""Disappointment"": 0.0, ""Concern"": 0.05, ""Hostility"": 0.0, ""Neutral"": 0.85}",false,0,false,0,2,3,false,false,Promptly request the customer's issue; offer clear next steps and avoid generic links.,gpt-5-nano,2170,4315,0.001835
CC-41324,Done,Done,Port Marcon Place,2025-11-13T12:13:00+00:00,2025-11-13T12:28:00+00:00,15.00,3.00,3.00,3.00,0.50,7,5,2,2,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:656d9705-51dc-4f26-9fe6-aea8e5c55a0c,true,true,false,0,false,0,Bike lock requested and executed; agent locked bike and closed chat.,4,Customer requested bike lock; agent locked the bike.,Bike locked; chat closed after no reply.,"[""Agent acknowledged issue and stated ongoing handling."", ""Agent locked the bike for the customer."", ""Agent asked if more assistance was needed."", ""Agent closed the chat due to no reply.""]",2025-11-13T12:16:00+00:00,5,Other,Rental pause/resume issue,true,"Original issue label was 'Rental pause/resume issue', but transcript shows 'Lock?' (C: 03) and 'I am now locking this bike for you.' (A: 05), indicating a bike lock action rather than pause.",The agent locked the bike at 12:16 (A: 05) and then closed the chat at 12:28 due to no further input ('We haven't heard back from you...').,Neutral,"{""Delight"": 0.05, ""Convenience"": 0.25, ""Trust"": 0.2, ""Frustration"": 0.15, ""Disappointment"": 0.15, ""Concern"": 0.1, ""Hostility"": 0.0, ""Neutral"": 0.1}",false,0,false,0,4,4,true,true,Confirm resolution with customer and avoid closing chat without explicit confirmation; provide a brief summary of actions taken.,gpt-5-nano,2314,4011,0.001720
