issue_key,status,resolution,custom_field_hub,conversation_start,conversation_end,duration_minutes,first_agent_response_minutes,avg_agent_response_minutes,avg_customer_response_minutes,messages_total,messages_agent,messages_customer,turns,agent_authors,customer_authors,initial_response_sla_5m,initial_response_sla_15m,agent_profanity_detected,agent_profanity_count,customer_abuse_detected,customer_abuse_count,llm_summary_250,conversation_rating,extract_customer_problem,contact_reason,contact_reason_original,agent_score,customer_score,resolved,improvement_tip,llm_model,llm_input_tokens,llm_output_tokens,llm_cost_usd
CC-39389,In Progress,,,2025-10-24T00:38:00+00:00,2025-10-24T00:40:00+00:00,2.00,,,0.67,291,3,3,1,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:14411cc1-cccc-4be6-bddf-059897315f79,,,false,0,false,0,,,,,,,,,,gpt-4o-mini,,,
CC-39388,In Progress,,Business Design Centre,2025-10-24T00:32:00+00:00,2025-10-24T00:41:00+00:00,9.00,1.00,1.29,0.06,309,8,16,13,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:1ac82e77-1658-4d0d-9ef7-aaa7a9c7d75e,true,true,false,0,false,0,,,,,Rental finish issue,,,,,gpt-4o-mini,,,
CC-39387,Done,Done,Business Design Centre,2025-10-23T23:16:00+00:00,2025-10-23T23:42:00+00:00,26.00,1.00,8.80,0.00,292,5,2,3,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:af6b3c41-89c9-4ccd-ab11-b4b8394ef14b,true,true,false,0,false,0,,,,,Rental finish issue,,,,,gpt-4o-mini,,,
CC-39386,Done,Done,Q-Park Pimlico,2025-10-23T22:52:00+00:00,2025-10-23T23:31:00+00:00,39.00,1.00,12.00,0.75,300,11,4,4,712020:2d004b64-fe43-43ea-94c6-0a1d558883d4;712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:6013f68f-7cb1-4817-b3c8-98196393726a,true,true,false,0,false,0,,,,,Info/question about my current ride,,,,,gpt-4o-mini,,,
CC-39385,Done,Done,Q-Park Leicester Square,2025-10-23T22:20:00+00:00,2025-10-23T22:46:00+00:00,26.00,1.00,6.20,0.20,297,7,5,4,712020:0f747479-10c0-4ae9-8ae7-7531f3554784;712020:ad2872c7-5ae1-47b0-b52a-a68d84012906,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:77c87bed-ce9c-4d92-8b18-956566d5afe2,true,true,false,0,false,0,,,,,General information request about the service,,,,,gpt-4o-mini,,,
CC-39384,Done,Duplicate,,2025-10-23T22:21:00+00:00,2025-10-23T22:22:00+00:00,1.00,,,,288,3,0,0,712020:ad2872c7-5ae1-47b0-b52a-a68d84012906,,,,false,0,false,0,,,,,Duplicate,,,,,gpt-4o-mini,,,
CC-39383,Done,Duplicate,,2025-10-23T22:04:00+00:00,2025-10-23T22:05:00+00:00,1.00,1.00,1.00,0.00,290,4,1,2,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:5fc06958-462a-495f-b73a-5f443e2d7384,true,true,false,0,false,0,,,,,Duplicate,,,,,gpt-4o-mini,,,
CC-39382,Done,Done,Q-Park Tower Bridge,2025-10-23T22:00:00+00:00,2025-10-23T23:36:00+00:00,96.00,2.00,6.06,1.36,317,18,14,18,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:5fc06958-462a-495f-b73a-5f443e2d7384,true,true,false,0,false,0,,,,,E-bike lost or stolen during a rental,,,,,gpt-4o-mini,,,
CC-39381,Done,Done,Q-Park Leicester Square,2025-10-23T21:47:00+00:00,2025-10-23T21:54:00+00:00,7.00,1.00,1.00,0.17,307,10,12,10,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:00c82a4c-cb4d-452b-a81e-41432b19c9cf,true,true,false,0,false,0,,,,,Rental finish issue,,,,,gpt-4o-mini,,,
CC-39380,Done,Done,Q-Park Leicester Square,2025-10-23T21:39:00+00:00,2025-10-23T21:57:00+00:00,18.00,7.00,2.71,0.44,303,9,9,10,712020:ad2872c7-5ae1-47b0-b52a-a68d84012906,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:68684a1f-c7a8-43ed-a154-94fd7c7599a1,false,true,false,0,false,0,,,,,E-bike damage issue,,,,,gpt-4o-mini,,,
