issue_key,status,resolution,custom_field_hub,conversation_start,conversation_end,duration_minutes,first_agent_response_minutes,avg_agent_response_minutes,avg_customer_response_minutes,messages_total,messages_agent,messages_customer,turns,agent_authors,customer_authors,initial_response_sla_5m,initial_response_sla_15m,agent_profanity_detected,agent_profanity_count,customer_abuse_detected,customer_abuse_count,llm_summary_250,conversation_rating,extract_customer_problem,contact_reason,contact_reason_original,agent_score,customer_score,resolved,improvement_tip,llm_model,llm_input_tokens,llm_output_tokens,llm_cost_usd
CC-41090,Done,Done,Q-Park Oxford street,2025-11-10T20:18:00+00:00,2025-11-10T20:32:00+00:00,14.00,1.00,5.75,0.00,8,6,2,2,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:47300298-37ed-4f06-b860-31620c09ebf1,true,true,false,0,false,0,"The customer reported an e-bike damage issue, and the agent promptly addressed it by closing the rental and arranging for bike collection.",5,The customer reported damage to the e-bike.,E-bike damage issue,E-bike damage issue,5,5,true,Consider providing a follow-up message to ensure customer satisfaction after the issue is resolved.,gpt-4o-mini,1247,118,0.004298
CC-41089,Done,Done,Saba Stratford,2025-11-10T20:12:00+00:00,2025-11-10T20:29:00+00:00,17.00,1.00,6.33,0.00,6,5,1,2,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:86de99b8-020e-4d1f-b8eb-f8a98658a662,true,true,false,0,false,0,Customer expressed gratitude for assistance. Agent provided a link and offered further help before closing the chat.,5,Customer did not have a specific problem but was seeking assistance.,Customer Feedback,Customer Feedback,5,5,true,Consider asking if the customer has any specific feedback or suggestions to enhance engagement.,gpt-4o-mini,1139,112,0.003968
CC-41088,Done,Done,,2025-11-10T19:54:00+00:00,2025-11-10T19:55:00+00:00,1.00,,,,2,2,0,0,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,,,,false,0,false,0,"The customer connected with Port App for assistance, but no specific issue was raised in the conversation.",3,No specific customer problem was presented.,Other,Other,4,3,false,Encourage the customer to specify their issue for more effective assistance.,gpt-4o-mini,998,108,0.003575
CC-41087,Done,Done,Saba Stratford,2025-11-10T18:53:00+00:00,2025-11-10T20:11:00+00:00,78.00,2.00,32.75,0.80,11,6,5,4,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:86de99b8-020e-4d1f-b8eb-f8a98658a662,true,true,false,0,false,0,The customer reported low battery on their bike. The agent confirmed the battery level and instructed the customer to return the bike to the hub. The issue was resolved successfully.,5,The customer was running low on battery.,Info/question about my current ride,Info/question about my current ride,5,5,true,Continue providing clear instructions and confirm understanding with the customer.,gpt-4o-mini,1381,122,0.004673
CC-41086,Done,Done,Q-Park Leicester Square,2025-11-10T18:44:00+00:00,2025-11-10T20:11:00+00:00,87.00,1.00,29.75,0.00,13,9,4,6,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:e9cf0880-2264-49b7-90c6-6ed02ec53b8c,true,true,false,0,false,0,Customer reported a stolen bike. Agent provided the last known location and confirmed the bike was recovered successfully.,5,The customer's bike was stolen during a rental.,E-bike lost or stolen during a rental,E-bike lost or stolen during a rental,5,4,true,Encourage customers to lock their bikes before leaving to prevent theft.,gpt-4o-mini,1424,118,0.004740
CC-41085,Done,Done,Q-Park Leicester Square,2025-11-10T18:27:00+00:00,2025-11-10T19:29:00+00:00,62.00,1.00,8.00,1.17,16,10,6,8,712020:0f747479-10c0-4ae9-8ae7-7531f3554784,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:1f98446a-34c0-4aa4-9aea-db3f4af206f6,true,true,false,0,false,0,"Customer reported a flat tire on their bike. Agent requested a video and advised on returning the bike. The customer confirmed the bike was not working, and the agent arranged for collection.",4,The customer's bike tire is flat.,E-bike damage issue,E-bike damage issue,4,4,true,Ensure to confirm the customer's understanding of the next steps clearly.,gpt-4o-mini,1492,123,0.004960
CC-41084,Done,Done,Q-Park Pimlico,2025-11-10T18:16:00+00:00,2025-11-10T19:00:00+00:00,44.00,1.00,10.75,1.00,13,6,7,6,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:0d17be4a-97bb-4100-b27d-68ce10d00f43,true,true,false,0,false,0,Customer wants to cancel a monthly subscription and inquire about a refund. Agent informs that cancellation is not possible due to a promotional code. Customer expresses disappointment.,3,Customer wants to cancel their monthly subscription and is inquiring about a refund.,Request to cancel weekly subscription,,3,4,false,Provide clearer information on cancellation policies upfront to manage customer expectations.,gpt-4o-mini,1420,130,0.004850
CC-41083,Done,Done,Q-Park Oxford street,2025-11-10T17:44:00+00:00,2025-11-10T19:41:00+00:00,117.00,4.00,36.88,4.14,17,10,7,4,712020:2d004b64-fe43-43ea-94c6-0a1d558883d4;712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:448b5aec-23fa-4396-960d-03ef3bef3383,true,true,false,0,false,0,Customer requested to cancel their weekly subscription and a refund due to no delivery plans for the week. The agent processed the request and confirmed the refund approval.,4,Customer wants to cancel their weekly subscription and request a refund.,Request to cancel weekly subscription,Request to cancel weekly subscription,4,3,true,Ensure clarity in communication to avoid confusion about subscription types.,gpt-4o-mini,1793,126,0.005742
CC-41082,Done,Done,Q-Park Tower Bridge,2025-11-10T17:42:00+00:00,2025-11-10T19:17:00+00:00,95.00,2.00,5.67,1.21,46,17,29,24,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:0434ed9d-0489-43e5-92e0-ac47492521cd,true,true,false,0,false,0,"Customer experienced a bike malfunction during a delivery, specifically with the pedal not working. The agent assisted by ending the rental and allowing a new ride.",4,"The bike's pedal was not functioning, causing delivery issues.",E-bike damage issue,E-bike damage issue,4,3,true,Provide clearer instructions for troubleshooting bike issues to reduce customer frustration.,gpt-4o-mini,2435,125,0.007338
CC-41081,Done,Done,APCOA Southside Wandsworth,2025-11-10T17:35:00+00:00,2025-11-10T19:09:00+00:00,94.00,1.00,37.00,3.50,7,5,2,4,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:4f4c7028-5481-4aa7-b1ee-9f8cdd3e4d1b,true,true,false,0,false,0,Customer reported a fall due to poor tire grip in the rain and requested to park the bike. Agent reiterated the need to return the bike to the original hub.,3,Customer fell from the bike due to inadequate tire grip in rainy conditions.,General complaint,General complaint,3,3,false,"Provide clearer guidance on safety and tire conditions, and ensure timely responses to customer requests.",gpt-4o-mini,1219,129,0.004338
CC-41079,Done,Done,NCP Bloomsbury,2025-11-10T17:32:00+00:00,2025-11-10T19:43:00+00:00,131.00,1.00,46.20,1.40,11,6,5,6,712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:e644a411-e323-416c-9681-eca1ab173ac1,true,true,false,0,false,0,The customer initially wanted to rent for another week but later inquired about canceling their subscription. The agent repeatedly asked for the reason for cancellation but did not receive a response.,3,The customer is confused about their subscription and whether they need to pay for another week.,Request to cancel weekly subscription,Request to cancel weekly subscription,3,3,false,Encourage the customer to clarify their intentions earlier and provide clear options for subscription management.,gpt-4o-mini,1309,138,0.004653
CC-41078,Done,Done,No active pass / Other,2025-11-10T17:31:00+00:00,2025-11-10T19:08:00+00:00,97.00,1.00,10.92,2.50,32,14,18,14,712020:2d004b64-fe43-43ea-94c6-0a1d558883d4;712020:938aebe2-3534-4413-a71d-6c414201de4b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:94edb7f3-9162-4523-bb5c-685c20fa734f,true,true,false,0,false,0,"The customer was blocked from their account due to policy breaches. After confirming understanding of the terms, the agent successfully unblocked the account.",4,"The customer's account was blocked, preventing access to services.",My account is blocked,My account is blocked,4,4,true,Ensure to provide timely updates to the customer to reduce their anxiety during waiting periods.,gpt-4o-mini,2307,126,0.007027
