code,promotion_code_id
NY-QYTOJR,promo_1Sf1bOKb5AGoR6HmiApIk2ne
NY-EQDWJX,promo_1Sf1bOKb5AGoR6HmzpI8RwdO
NY-SSYZOY,promo_1Sf1bPKb5AGoR6HmyXU6sATQ
NY-CZNVYE,promo_1Sf1bPKb5AGoR6Hmmr8UlF5x
NY-ENJSNT,promo_1Sf1bPKb5AGoR6Hm2QT5SlSr
NY-FSPQLM,promo_1Sf1bPKb5AGoR6HmYDMecij1
NY-KIMYFF,promo_1Sf1bQKb5AGoR6Hmz14WoX57
NY-VIEEAZ,promo_1Sf1bQKb5AGoR6HmN1AFachb
NY-VUEOLE,promo_1Sf1bQKb5AGoR6Hm936jBEVz
NY-JNLMHF,promo_1Sf1bQKb5AGoR6Hm7VwfyZqN
NY-IXMZTV,promo_1Sf1bRKb5AGoR6HmznO0HZmk
NY-DAQFXI,promo_1Sf1bRKb5AGoR6HmMP2L4mr0
NY-LRSGCI,promo_1Sf1bRKb5AGoR6HmrtdTLHha
NY-VTTBYP,promo_1Sf1bRKb5AGoR6HmjK9hrxjP
NY-MFFUON,promo_1Sf1bSKb5AGoR6HmYqOwnBRi
NY-ANWMPC,promo_1Sf1bSKb5AGoR6HmaAP2KzSw
NY-IMAEBK,promo_1Sf1bSKb5AGoR6Hm8j3QZlnb
NY-WFRNZV,promo_1Sf1bTKb5AGoR6Hm0M8JDtee
NY-MNKFBN,promo_1Sf1bTKb5AGoR6HmJ7BUCCt0
NY-BZZCOY,promo_1Sf1bTKb5AGoR6HmtuRiL7TT
NY-LLULZG,promo_1Sf1bTKb5AGoR6HmQymSqjln
NY-YRASYX,promo_1Sf1bUKb5AGoR6HmfRHUNuty
NY-GWTRUT,promo_1Sf1bUKb5AGoR6HmS75pV3rJ
NY-JODFBN,promo_1Sf1bUKb5AGoR6HmtvL0KHpI
NY-AUJBTE,promo_1Sf1bUKb5AGoR6HmQ2PWJsKJ
NY-TDTQRN,promo_1Sf1bVKb5AGoR6Hme2rTGlDQ
NY-JSOENH,promo_1Sf1bVKb5AGoR6HmTlW84pEw
NY-PDNJTA,promo_1Sf1bVKb5AGoR6HmMfI2rkNF
NY-NMHURL,promo_1Sf1bVKb5AGoR6HmS5yZQEsV
NY-INFGTD,promo_1Sf1bWKb5AGoR6HmeAZ8JuBl
NY-OHTXMD,promo_1Sf1bWKb5AGoR6HmuG1PSAlA
NY-WPRDVK,promo_1Sf1bWKb5AGoR6HmAqeRSipE
NY-NPPPNU,promo_1Sf1bXKb5AGoR6HmPuIahGSd
NY-ZVJXZR,promo_1Sf1bXKb5AGoR6Hmj4D3cCIT
NY-IVZGYV,promo_1Sf1bXKb5AGoR6HmNTEVyjkV
NY-ZFLRAK,promo_1Sf1bXKb5AGoR6HmboncdxJd
NY-PJNZUJ,promo_1Sf1bYKb5AGoR6Hm8vuDQ1rI
NY-CXUNZZ,promo_1Sf1bYKb5AGoR6HmyRE2QEk5
NY-YHLNVI,promo_1Sf1bYKb5AGoR6Hm2ivrsJwT
NY-PAYLLM,promo_1Sf1bZKb5AGoR6Hm3gJhrYnS
NY-JQGZZU,promo_1Sf1bZKb5AGoR6Hm7ezxnB35
NY-ATHJIZ,promo_1Sf1bZKb5AGoR6Hmi1FAL1kV
NY-BREVIK,promo_1Sf1bZKb5AGoR6HmiBF8AeFE
NY-WBOWYT,promo_1Sf1baKb5AGoR6HmUjnKv9eK
NY-GDEPBJ,promo_1Sf1baKb5AGoR6HmOCGeleKP
NY-CZHANV,promo_1Sf1baKb5AGoR6Hm0T7YExfh
NY-VCXPEV,promo_1Sf1baKb5AGoR6Hm09sMLBTm
NY-KEFAVM,promo_1Sf1bbKb5AGoR6HmDsdmoBLM
